Time,Person In,Person Out
2022/09/02 12:28:20,,1
2022/09/02 12:28:30,1,
2022/09/02 12:28:40,1,
2022/09/02 12:28:49,,1
2022/09/02 12:29:18,,1
2022/09/02 12:29:19,,1
2022/09/02 12:29:34,,1
2022/09/02 12:29:37,1,
2022/09/02 12:29:41,1,
2022/09/02 12:30:10,,1
2022/09/02 12:30:15,,1
2022/09/02 12:30:16,,1
2022/09/02 12:30:54,,1
2022/09/02 12:31:20,,1
2022/09/02 12:31:46,,1
2022/09/02 12:31:47,1,
2022/09/02 12:31:47,,1
2022/09/02 12:31:48,,1
2022/09/02 12:31:49,,1
2022/09/02 12:32:02,1,
2022/09/02 12:32:03,,1
2022/09/02 12:32:27,1,
2022/09/02 12:32:38,,1
2022/09/02 12:32:39,,1
2022/09/02 12:32:39,,1
2022/09/02 12:33:23,,1
2022/09/02 12:33:24,,1
2022/09/02 12:33:37,,1
2022/09/02 12:33:41,1,
2022/09/02 12:33:42,1,
2022/09/02 12:33:43,,1
2022/09/02 12:33:47,1,
2022/09/02 12:34:07,1,
2022/09/02 12:34:20,1,
2022/09/02 12:34:36,1,
2022/09/02 12:34:37,,1
2022/09/02 12:34:37,,1
2022/09/02 12:35:12,1,
2022/09/02 12:35:15,,1
2022/09/02 12:35:16,,1
2022/09/02 12:35:17,1,
2022/09/02 12:35:46,,1
2022/09/02 12:35:49,1,
2022/09/02 12:35:59,1,
2022/09/02 12:35:59,1,
2022/09/02 12:36:34,1,
2022/09/02 12:36:42,,1
2022/09/02 12:36:43,,1
2022/09/02 12:36:45,,1
2022/09/02 12:36:46,,1
2022/09/02 12:36:47,,1
2022/09/02 12:37:03,1,
2022/09/02 12:38:11,1,
2022/09/02 12:38:16,1,
2022/09/02 12:38:22,,1
2022/09/02 12:39:01,1,
2022/09/02 12:39:49,1,
2022/09/02 12:39:49,1,
2022/09/02 12:39:56,1,
2022/09/02 12:40:44,1,
2022/09/02 12:41:08,1,
2022/09/02 12:41:09,,1
2022/09/02 12:41:26,1,
2022/09/02 12:41:47,,1
2022/09/02 12:41:54,1,
2022/09/02 12:42:18,1,
2022/09/02 12:42:20,1,
2022/09/02 12:42:25,1,
2022/09/02 12:42:37,,1
2022/09/02 12:42:37,,1
2022/09/02 12:42:51,,1
2022/09/02 12:42:51,,1
2022/09/02 12:42:54,,1
2022/09/02 12:43:16,1,
2022/09/02 12:43:27,,1
2022/09/02 12:43:28,,1
2022/09/02 12:43:30,,1
2022/09/02 12:43:33,1,
2022/09/02 12:43:48,1,
2022/09/02 12:43:49,1,
2022/09/02 12:44:03,,1
2022/09/02 12:44:03,,1
2022/09/02 12:44:15,,1
2022/09/02 12:44:24,1,
2022/09/02 12:44:29,,1
2022/09/02 12:45:22,1,
2022/09/02 12:45:28,1,
2022/09/02 12:45:30,1,
2022/09/02 12:45:42,,1
2022/09/02 12:45:44,,1
2022/09/02 12:45:44,,1
2022/09/02 12:46:13,1,
2022/09/02 12:46:14,1,
2022/09/02 12:46:16,1,
2022/09/02 12:46:23,,1
2022/09/02 12:47:57,,1
2022/09/02 12:48:29,1,
2022/09/02 12:48:32,1,
2022/09/02 12:48:48,,1
2022/09/02 12:48:59,1,
2022/09/02 12:49:00,,1
2022/09/02 12:49:01,,1
2022/09/02 12:49:35,,1
2022/09/02 12:49:35,,1
2022/09/02 12:49:36,,1
2022/09/02 12:49:48,1,
2022/09/02 12:50:28,1,
2022/09/02 12:50:49,1,
2022/09/02 12:51:34,,1
2022/09/02 12:51:39,,1
2022/09/02 12:51:45,1,
2022/09/02 12:51:56,,1
2022/09/02 12:51:58,,1
2022/09/02 12:51:59,,1
2022/09/02 12:53:17,1,
2022/09/02 12:53:20,1,
2022/09/02 12:53:20,1,
2022/09/02 12:53:21,1,
2022/09/02 12:53:30,,1
2022/09/02 12:53:34,1,
2022/09/02 12:53:35,1,
2022/09/02 12:54:26,1,
2022/09/02 12:54:29,1,
2022/09/02 12:54:31,,1
2022/09/02 12:54:53,,1
2022/09/02 12:54:54,,1
2022/09/02 12:54:56,,1
2022/09/02 12:55:10,,1
2022/09/02 12:55:12,,1
2022/09/02 12:55:13,1,
2022/09/02 12:55:52,,1
2022/09/02 12:55:55,,1
2022/09/02 12:55:57,,1
2022/09/02 12:56:27,1,
2022/09/02 12:56:27,1,
2022/09/02 12:56:35,1,
2022/09/02 12:56:47,,1
2022/09/02 12:56:53,,1
2022/09/02 12:58:00,,1
2022/09/02 12:58:05,1,
2022/09/02 12:58:12,1,
2022/09/02 12:58:37,1,
2022/09/02 12:58:38,1,
2022/09/02 12:59:15,,1
2022/09/02 12:59:16,,1
2022/09/02 12:59:43,,1
2022/09/02 13:00:12,1,
2022/09/02 13:00:21,1,
2022/09/02 13:00:28,1,
2022/09/02 13:01:02,1,
2022/09/02 13:01:03,,1
